Time, a.x, a.y, a.z, g.x, g.y, g.z, m.x, m.y, m.z
78, 0.16, -0.15, 0.91, -0.99, -0.29, 2.59, -0.05, 0.28, -0.37
145, 0.12, -0.13, 0.98, -2.92, -0.48, -2.22, -0.05, 0.29, -0.38
211, 0.17, -0.14, 0.92, 3.00, 1.96, 2.27, -0.04, 0.29, -0.38
279, 0.14, -0.15, 0.95, -1.47, -0.97, -1.07, -0.04, 0.29, -0.39
346, 0.12, -0.13, 0.98, -2.95, -3.54, 1.89, -0.04, 0.28, -0.38
412, 0.17, -0.15, 0.90, 2.39, 1.06, 0.69, -0.04, 0.29, -0.39
480, 0.14, -0.13, 0.94, 1.58, 0.34, 0.61, -0.04, 0.29, -0.37
547, 0.12, -0.14, 0.97, -2.35, -3.53, -0.65, -0.04, 0.29, -0.38
618, 0.15, -0.13, 0.94, 0.38, 1.34, -0.25, -0.04, 0.29, -0.37
684, 0.14, -0.11, 0.95, -4.79, -2.86, -1.15, -0.05, 0.29, -0.38
751, 0.15, -0.13, 0.94, 0.50, 0.08, 0.08, -0.04, 0.29, -0.38
819, 0.12, -0.16, 0.98, -1.04, -3.19, 0.78, -0.05, 0.29, -0.38
887, 0.16, -0.16, 0.93, 0.39, -0.75, 2.70, -0.04, 0.29, -0.38
956, 0.14, -0.14, 0.92, -3.85, -1.26, 3.77, -0.04, 0.29, -0.38
1022, 0.11, -0.16, 0.98, -0.24, -3.48, 4.17, -0.05, 0.28, -0.37
1089, 0.15, -0.07, 0.91, -2.35, 1.58, 4.12, -0.04, 0.29, -0.37
1158, 0.13, -0.13, 0.99, -6.64, -5.71, 0.48, -0.04, 0.28, -0.38
1224, 0.16, -0.14, 0.89, 1.65, -1.46, 5.67, -0.04, 0.28, -0.38
1292, 0.14, -0.08, 0.94, -9.43, -9.63, 3.84, -0.05, 0.28, -0.38
1359, 0.12, -0.08, 0.95, 0.95, -7.09, 9.72, -0.05, 0.28, -0.38
1427, 0.13, -0.15, 0.95, 6.06, -6.82, 7.96, -0.05, 0.28, -0.37
1494, 0.12, -0.05, 0.94, -8.35, -2.78, -2.68, -0.06, 0.27, -0.38
1561, 0.07, -0.11, 0.93, 7.13, -9.93, 14.15, -0.05, 0.28, -0.37
1628, 0.21, -0.18, 0.88, -9.24, -1.48, -19.62, -0.05, 0.28, -0.38
1698, 0.02, -0.09, 1.04, -9.83, -9.69, 7.01, -0.06, 0.27, -0.38
1766, 0.09, -0.11, 0.96, -1.83, -6.54, 4.09, -0.06, 0.28, -0.37
1833, 0.13, -0.06, 0.89, 10.26, -3.94, 14.25, -0.06, 0.27, -0.37
1900, 0.06, -0.15, 0.96, -6.08, -8.21, 0.11, -0.06, 0.28, -0.37
1968, 0.06, -0.07, 0.96, -1.18, -6.51, 12.30, -0.06, 0.28, -0.36
2034, 0.05, -0.08, 0.95, 4.25, -0.23, 8.51, -0.07, 0.28, -0.36
2102, 0.05, -0.05, 0.94, -7.90, -4.28, -5.99, -0.07, 0.27, -0.36
2169, 0.05, -0.06, 0.93, 6.60, -1.34, 10.13, -0.07, 0.28, -0.36
2241, 0.03, -0.11, 0.94, -5.05, 3.94, -1.92, -0.07, 0.28, -0.36
2307, 0.10, -0.08, 0.92, -4.77, 2.20, 0.34, -0.07, 0.27, -0.37
2373, 0.08, -0.08, 0.92, -0.12, 0.03, 8.29, -0.06, 0.28, -0.37
2440, 0.07, -0.14, 0.97, 12.50, -1.23, 4.30, -0.06, 0.27, -0.36
2507, 0.06, -0.05, 0.94, -1.02, 4.51, -1.72, -0.07, 0.28, -0.37
2574, 0.08, -0.00, 0.99, -2.30, 7.28, -4.45, -0.07, 0.28, -0.37
2641, 0.06, -0.03, 0.98, -4.39, 11.60, 6.85, -0.06, 0.28, -0.36
2711, 0.08, -0.12, 1.07, -15.56, 23.94, -5.18, -0.06, 0.27, -0.38
2777, 0.18, 0.02, 0.96, 2.10, 25.11, 3.24, -0.05, 0.27, -0.38
2843, 0.16, -0.20, 1.05, -15.01, -19.72, -13.76, -0.04, 0.27, -0.38
2911, 0.18, 0.31, 0.97, -60.45, 7.25, 29.05, -0.05, 0.26, -0.38
2979, 0.19, 0.14, 0.99, -2.83, 14.81, 7.93, -0.04, 0.25, -0.39
3048, 0.14, 0.02, 1.01, 10.12, 2.38, -5.07, -0.05, 0.25, -0.39
3117, 0.17, -0.11, 0.99, 69.33, -27.26, -1.89, -0.04, 0.25, -0.40
3185, 0.08, -0.03, 1.10, 26.42, -0.07, 5.68, -0.05, 0.28, -0.39
3255, 0.06, -0.08, 1.17, 14.46, -19.25, 18.99, -0.04, 0.28, -0.39
3323, 0.16, -0.10, 1.10, 21.24, 4.52, 0.82, -0.04, 0.28, -0.38
3391, 0.21, -0.28, 0.47, -6.90, 42.69, -5.06, -0.04, 0.28, -0.39
3457, 0.24, -0.16, 0.09, -11.09, 36.02, -7.67, -0.03, 0.28, -0.39
3523, 0.22, 0.10, 0.21, 3.96, -35.88, 7.21, -0.03, 0.27, -0.40
3590, 0.15, -0.00, 0.03, -75.36, 16.64, -44.95, -0.04, 0.27, -0.39
3657, -0.11, -0.15, 1.55, 5.40, -104.31, -51.19, -0.06, 0.26, -0.38
3737, -0.12, -0.52, 2.00, -30.98, -18.66, -13.34, -0.10, 0.24, -0.35
3821, 0.04, 0.24, 0.98, -28.65, 127.84, 32.12, -0.08, 0.23, -0.37
3887, 0.03, 0.17, 0.10, -1.95, 73.84, 15.74, -0.03, 0.23, -0.40
3954, 0.11, 0.05, -0.31, 28.85, 40.47, 6.20, -0.02, 0.24, -0.41
4022, -0.05, -0.21, 0.07, 34.83, -55.86, -18.36, -0.01, 0.25, -0.41
4089, -0.02, 0.08, 0.61, 22.58, -111.14, -7.53, -0.07, 0.25, -0.37
4156, -0.17, -0.28, 2.00, 31.06, -109.61, -22.85, -0.09, 0.26, -0.34
4224, 0.02, -0.30, 2.00, 6.54, 18.19, -43.21, -0.11, 0.26, -0.33
4292, -0.03, -0.14, 1.92, -22.07, 73.57, 33.43, -0.08, 0.24, -0.37
4373, -0.02, -0.03, 0.48, -58.07, 123.62, 22.12, -0.05, 0.24, -0.38
4442, 0.10, 0.08, -0.22, -1.64, 59.37, 1.49, -0.02, 0.23, -0.40
4511, 0.09, 0.09, -0.12, 10.29, -25.41, -8.26, 0.00, 0.23, -0.40
4581, 0.12, 0.16, 0.18, 16.00, -76.49, 0.04, -0.01, 0.23, -0.40
4651, 0.09, 0.06, 1.19, -20.56, -106.61, 1.74, -0.07, 0.23, -0.37
4720, -0.03, -0.24, 2.00, 16.36, -41.81, -28.95, -0.09, 0.24, -0.35
4790, 0.04, -0.44, 1.95, -0.77, 80.45, -5.07, -0.09, 0.24, -0.35
4861, -0.00, 0.11, 0.56, -21.05, 127.41, 23.17, -0.04, 0.23, -0.39
4931, 0.07, -0.07, -0.26, -1.48, 34.76, 7.04, -0.01, 0.23, -0.40
4999, 0.09, 0.12, 0.03, 11.10, -13.78, 1.81, -0.01, 0.23, -0.40
5068, 0.09, 0.25, 0.54, 15.65, -84.94, 2.28, -0.04, 0.24, -0.39
5138, 0.05, 0.03, 1.05, -22.64, -83.69, -2.29, -0.07, 0.23, -0.38
5208, -0.13, -0.01, 2.00, 47.64, -88.26, -11.77, -0.09, 0.23, -0.36
5278, -0.04, -0.22, 1.51, -21.74, 82.43, 7.32, -0.09, 0.25, -0.35
5347, 0.03, 0.05, 0.45, 1.51, 119.40, 24.96, -0.07, 0.25, -0.38
5420, 0.14, -0.01, -0.30, -14.24, 66.74, -0.73, -0.01, 0.24, -0.39
5488, 0.06, 0.14, 0.06, -1.50, -18.18, 4.38, -0.01, 0.24, -0.40
5557, 0.08, -0.01, 0.62, 3.05, -67.63, -4.29, -0.02, 0.24, -0.40
5626, 0.06, -0.03, 1.12, -40.32, -68.93, 2.97, -0.06, 0.24, -0.38
5696, 0.03, -0.03, 1.08, -4.15, -74.63, -12.30, -0.07, 0.23, -0.36
5765, -0.13, 0.29, 1.26, -12.60, -53.54, 3.70, -0.09, 0.23, -0.34
5834, -0.13, 0.01, 1.09, 45.05, -52.97, 3.91, -0.11, 0.23, -0.32
5904, -0.22, 0.01, 1.47, -0.85, -57.30, -25.62, -0.12, 0.23, -0.31
5977, -0.27, -0.09, 2.00, 14.37, -22.15, 7.07, -0.13, 0.23, -0.30
6046, -0.27, 0.05, 1.58, -6.86, 55.47, 29.05, -0.13, 0.24, -0.31
6115, -0.26, -0.08, 1.24, 4.81, 77.18, 35.69, -0.11, 0.24, -0.33
6183, -0.15, 0.01, 1.18, 23.73, 67.82, 29.33, -0.08, 0.25, -0.38
6252, 0.02, -0.12, 0.80, 26.06, 91.32, 12.77, -0.05, 0.26, -0.39
6320, 0.25, -0.05, 0.59, -5.64, 82.51, 7.61, -0.02, 0.25, -0.41
6389, 0.14, -0.06, 0.56, 5.17, 66.92, -7.96, 0.03, 0.25, -0.42
6464, 0.36, 0.03, -0.04, -14.18, 48.57, 24.85, 0.04, 0.25, -0.42
6534, 0.37, -0.01, -0.18, -12.41, 13.24, 9.94, 0.06, 0.25, -0.42
6603, 0.32, 0.09, 0.27, 0.80, -48.27, 5.52, 0.05, 0.25, -0.43
6673, 0.18, -0.37, 0.35, 15.72, -27.08, -32.58, 0.04, 0.25, -0.42
6743, 0.08, -0.24, 0.65, -6.10, -47.31, -34.76, 0.01, 0.25, -0.41
6812, 0.02, 0.14, 1.51, 7.64, -95.62, -13.65, -0.02, 0.25, -0.39
6882, -0.12, 0.18, 1.24, 12.71, -112.04, -2.83, -0.04, 0.25, -0.38
6951, -0.14, -0.27, 1.68, 4.51, -125.88, -17.37, -0.10, 0.25, -0.35
7023, -0.19, 0.06, 1.19, 14.07, -93.99, -2.32, -0.11, 0.25, -0.33
7091, -0.27, -0.01, 1.09, -20.12, -28.03, -15.67, -0.13, 0.25, -0.30
7160, -0.29, -0.02, 1.69, 10.40, -50.77, -9.77, -0.15, 0.24, -0.27
7229, -0.30, -0.02, 1.58, -15.24, 50.38, 6.80, -0.15, 0.24, -0.28
7298, -0.26, 0.09, 1.48, -12.02, 69.07, 9.86, -0.13, 0.24, -0.31
7366, -0.23, 0.03, 1.15, -13.47, 97.26, 19.18, -0.11, 0.23, -0.33
7436, -0.16, 0.13, 1.15, 3.82, 102.58, 21.05, -0.09, 0.24, -0.35
7505, 0.01, 0.24, 0.67, -23.29, 94.62, 37.32, -0.03, 0.23, -0.40
7578, 0.07, -0.04, 0.79, 10.30, 67.74, -0.61, -0.01, 0.23, -0.41
7648, 0.16, 0.01, 0.28, 4.39, 72.00, -2.62, 0.01, 0.23, -0.41
7717, 0.29, 0.19, 0.02, -0.93, 57.85, 15.47, 0.05, 0.23, -0.42
7785, 0.24, 0.04, -0.05, -4.25, 11.21, -1.66, 0.07, 0.24, -0.42
7880, 0.23, -0.01, 0.10, 1.96, -53.80, -18.02, 0.05, 0.23, -0.43
7950, 0.13, 0.12, 0.21, 28.94, -81.57, -22.52, 0.03, 0.24, -0.42
8019, -0.10, -0.36, 1.07, 55.14, -147.73, -24.63, -0.03, 0.25, -0.40
8093, -0.17, -0.09, 1.79, 18.64, -108.56, -25.80, -0.07, 0.25, -0.38
8164, -0.12, -0.15, 1.95, -0.35, -43.45, -44.61, -0.11, 0.25, -0.34
8233, -0.09, -0.37, 1.63, 37.02, -26.03, -25.87, -0.11, 0.25, -0.33
8303, 0.06, 0.06, 1.24, -12.37, 11.90, -5.74, -0.11, 0.25, -0.33
8371, -0.20, -0.90, 1.20, 14.73, 18.79, -38.92, -0.09, 0.24, -0.34
8441, -0.32, -1.18, 0.75, -13.85, 58.80, -12.73, -0.09, 0.23, -0.36
8511, -0.15, -0.10, 0.74, 7.89, 30.93, 102.92, -0.08, 0.23, -0.37
8579, -0.08, -0.38, 0.44, 12.63, 21.73, 82.41, -0.08, 0.25, -0.38
8662, -0.04, 0.24, 0.63, -2.88, 0.16, 85.43, -0.08, 0.27, -0.37
8730, -0.14, 0.47, 0.96, -5.15, -18.23, 85.08, -0.08, 0.29, -0.36
8799, -0.11, 0.82, 1.06, 3.09, -8.56, 45.25, -0.09, 0.30, -0.36
8868, -0.06, 0.80, 1.05, 22.13, -9.78, -4.60, -0.09, 0.30, -0.37
8938, -0.16, 0.52, 0.96, 1.03, 5.55, -64.97, -0.09, 0.30, -0.37
9007, -0.17, 0.18, 1.03, -9.03, 3.14, -92.35, -0.08, 0.29, -0.36
