Time, a.x, a.y, a.z, g.x, g.y, g.z, m.x, m.y, m.z
162, -0.14, -0.14, 0.68, 27.12, 53.22, 1.29, -0.04, 0.19, -0.45
189, -0.12, -0.20, 0.68, -59.33, 35.56, -20.78, -0.02, 0.20, -0.46
216, -0.10, -0.13, 0.62, -85.68, 24.95, -35.81, -0.02, 0.20, -0.46
242, -0.12, -0.01, 0.65, -64.50, 30.33, -44.59, -0.02, 0.18, -0.47
270, -0.04, -0.08, 0.70, -57.15, 52.74, -34.56, -0.01, 0.16, -0.47
299, -0.00, -0.17, 0.68, -103.36, 105.65, 9.60, -0.01, 0.16, -0.47
325, -0.13, -0.17, 0.65, -124.37, 125.40, 21.29, 0.03, 0.13, -0.48
359, -0.10, 0.02, 0.64, -158.76, 105.52, -13.63, 0.03, 0.13, -0.48
386, 0.03, -0.09, 0.51, -117.67, 95.65, -3.07, 0.07, 0.08, -0.47
413, 0.26, -0.12, 0.56, -59.07, 81.01, 38.49, 0.07, 0.08, -0.47
440, 0.24, 0.03, 0.72, -60.20, 41.97, 48.36, 0.08, 0.06, -0.46
466, 0.10, 0.18, 0.74, -108.79, 36.60, 37.54, 0.08, 0.06, -0.46
496, 0.37, 0.43, 0.35, -2.87, -2.77, 16.27, 0.09, 0.03, -0.46
523, 0.28, 0.14, 0.62, 169.92, -78.79, 2.56, 0.09, 0.03, -0.46
549, 0.35, -0.07, 0.95, 218.72, -42.23, 1.34, 0.07, 0.05, -0.48
581, 0.24, 0.20, 1.25, 203.78, -58.75, 41.27, 0.05, 0.14, -0.52
608, 0.17, -0.43, 0.68, 164.69, -89.43, 33.22, 0.05, 0.14, -0.52
634, 0.38, 0.15, 1.29, 35.93, -164.36, 65.55, -0.00, 0.20, -0.53
661, -0.02, 0.31, 1.72, 227.76, -26.62, 110.51, -0.00, 0.20, -0.53
687, 0.07, -0.09, 1.12, 48.28, -17.21, 63.04, -0.02, 0.27, -0.54
714, 0.14, 0.07, 1.25, -140.86, -89.44, -4.91, -0.02, 0.27, -0.54
741, -0.03, -0.15, 1.12, -42.57, -32.74, -4.22, -0.06, 0.25, -0.55
769, -0.24, 0.72, 1.40, -81.55, 18.30, -0.49, -0.06, 0.25, -0.55
799, 0.02, 0.18, 1.11, -13.79, 88.19, -85.51, -0.05, 0.25, -0.56
826, 0.29, -0.37, 0.97, -27.47, 40.63, -90.35, -0.05, 0.25, -0.56
855, -0.13, -0.48, 1.26, 54.89, -14.89, -55.40, -0.03, 0.23, -0.59
882, -0.16, 0.48, 1.30, 154.55, 35.49, -83.00, -0.03, 0.29, -0.58
910, 0.23, -0.18, 1.09, 107.17, 20.30, -122.04, -0.03, 0.29, -0.58
936, 0.20, -0.31, 1.25, 91.66, -2.10, -45.39, -0.03, 0.33, -0.58
964, -0.08, 0.02, 1.01, 11.86, 12.84, -62.23, -0.03, 0.33, -0.58
990, -0.06, -0.08, 0.95, 15.94, 8.40, -110.74, -0.04, 0.34, -0.59
1019, 0.16, -0.39, 1.11, 61.52, -22.70, -135.16, -0.04, 0.34, -0.59
1046, 0.30, -0.41, 1.17, 67.85, -29.15, -82.37, -0.06, 0.36, -0.59
1072, 0.12, -0.47, 1.14, 41.03, -69.03, -60.13, -0.06, 0.36, -0.59
1099, 0.01, -0.45, 0.95, 12.67, -45.19, -52.96, -0.10, 0.37, -0.59
1152, 0.33, -0.52, 1.07, 8.98, 13.25, -15.72, -0.12, 0.38, -0.60
1181, 0.21, -0.40, 1.12, 47.78, -93.98, 43.30, -0.12, 0.38, -0.60
1209, -0.07, -0.42, 0.94, 24.67, -78.75, 42.82, -0.15, 0.40, -0.58
1238, -0.07, -0.35, 1.03, -4.04, -74.93, 29.77, -0.17, 0.42, -0.56
1264, -0.16, -0.37, 1.14, -35.40, -43.88, 39.92, -0.17, 0.42, -0.56
1294, -0.25, -0.25, 1.15, -5.24, -28.07, 21.59, -0.18, 0.43, -0.56
1320, -0.13, -0.27, 1.02, -119.86, -27.77, 26.24, -0.18, 0.43, -0.56
1348, -0.17, -0.21, 1.01, -71.64, -6.86, 15.35, -0.19, 0.41, -0.56
1374, -0.11, -0.25, 0.80, -88.68, 22.50, -38.52, -0.19, 0.41, -0.56
1400, 0.01, -0.09, 0.85, -110.79, -2.96, -0.95, -0.19, 0.36, -0.58
1427, -0.11, -0.34, 0.79, -180.14, 3.62, -5.68, -0.19, 0.36, -0.58
1456, -0.31, 0.04, 1.17, -111.63, 80.93, -31.99, -0.18, 0.30, -0.60
1482, -0.17, 0.18, 0.86, 22.17, -9.49, 7.74, -0.18, 0.30, -0.60
1509, -0.31, -0.13, 1.05, 10.76, -35.71, 15.57, -0.16, 0.28, -0.61
1537, 0.07, 0.07, 1.01, -17.18, 15.94, 12.01, -0.16, 0.28, -0.61
1563, 0.29, 0.33, 0.72, -3.32, 9.30, 21.82, -0.16, 0.28, -0.60
1590, -0.14, -0.08, 0.91, 55.72, -43.51, 14.99, -0.16, 0.28, -0.60
1616, 0.10, -0.26, 1.00, 60.97, -23.76, 8.72, -0.17, 0.30, -0.59
1646, -0.05, -0.05, 1.02, 8.78, 9.86, 8.40, -0.17, 0.32, -0.59
1673, -0.10, 0.11, 0.91, -5.29, 15.57, 27.61, -0.17, 0.32, -0.59
1699, -0.05, 0.42, 0.17, 138.29, 14.28, 8.19, -0.17, 0.34, -0.58
1726, -0.17, -0.17, 0.93, -2.06, 114.48, 29.36, -0.17, 0.34, -0.58
1753, 0.11, -0.28, 0.80, -53.70, 60.83, 40.41, -0.13, 0.37, -0.60
1782, -0.26, 0.61, 1.62, -199.24, -24.91, 0.89, -0.13, 0.37, -0.60
1809, 0.16, -0.08, 0.84, -24.42, 27.64, -23.85, -0.13, 0.32, -0.61
1835, 0.02, -0.02, 0.97, 0.81, -0.31, 2.00, -0.13, 0.32, -0.61
1879, -0.01, -0.05, 0.94, 0.27, 1.05, 1.28, -0.13, 0.32, -0.61
1907, -0.01, -0.03, 0.95, 0.73, -0.71, 0.32, -0.12, 0.32, -0.61
1936, -0.01, -0.04, 0.94, 1.68, -4.54, 2.90, -0.12, 0.32, -0.61
1965, -0.01, -0.04, 0.94, 0.67, -0.88, 0.44, -0.13, 0.32, -0.61
1994, -0.01, -0.04, 0.94, 0.63, -0.74, 0.10, -0.13, 0.32, -0.61
2025, -0.09, 0.12, 0.90, -0.96, 5.83, -5.99, -0.13, 0.32, -0.61
2053, 0.04, -0.13, 0.99, -2.91, -0.79, -58.61, -0.13, 0.32, -0.61
2083, 0.03, -0.07, 0.92, 4.10, 2.50, -20.70, -0.12, 0.31, -0.61
2115, -0.05, -0.10, 0.94, 1.04, -0.25, -2.93, -0.12, 0.31, -0.62
2145, 0.00, -0.04, 0.95, 0.75, -0.75, 0.10, -0.12, 0.31, -0.62
2173, 0.00, -0.04, 0.95, 0.87, -0.85, 0.09, -0.12, 0.31, -0.62
2204, -0.00, -0.04, 0.95, 0.78, -0.95, -0.13, -0.12, 0.31, -0.62
2234, 0.01, -0.04, 0.96, 0.75, -0.95, -3.26, -0.12, 0.31, -0.61
2265, 0.02, -0.07, 0.95, 0.89, -0.60, -8.53, -0.13, 0.31, -0.62
2294, 0.00, -0.04, 0.95, 0.93, -0.84, -0.15, -0.13, 0.31, -0.62
2323, -0.00, -0.03, 0.96, 1.05, -0.60, 0.08, -0.13, 0.31, -0.62
2355, 0.00, -0.03, 0.95, 0.74, -0.79, -0.59, -0.13, 0.31, -0.62
2384, 0.00, -0.04, 0.94, 1.37, -0.59, -0.34, -0.12, 0.31, -0.62
2414, 0.00, -0.04, 0.95, 1.00, -0.79, 0.14, -0.12, 0.31, -0.61
2441, 0.00, -0.04, 0.95, 1.02, -0.71, 0.18, -0.12, 0.31, -0.61
2471, 0.04, 0.00, 0.95, 0.67, -1.01, 1.78, -0.13, 0.31, -0.62
2500, 0.00, -0.08, 0.95, 0.06, -2.16, 21.83, -0.13, 0.31, -0.62
2531, 0.00, -0.03, 0.95, 0.35, -1.03, 1.43, -0.13, 0.31, -0.62
2560, -0.01, -0.05, 0.95, 0.76, -0.75, 0.43, -0.13, 0.31, -0.62
2593, -0.00, -0.04, 0.95, 0.55, -0.48, 0.13, -0.13, 0.31, -0.61
2625, 0.00, -0.04, 0.95, 0.83, -0.81, 0.14, -0.13, 0.31, -0.62
2653, 0.00, -0.04, 0.95, 0.77, -0.83, 0.14, -0.13, 0.31, -0.62
2682, 0.00, -0.04, 0.95, 0.78, -0.88, 0.20, -0.12, 0.31, -0.62
2711, 0.00, -0.04, 0.95, 0.81, -1.15, 0.09, -0.12, 0.31, -0.62
2739, -0.00, -0.03, 0.95, 1.63, -0.96, 0.33, -0.12, 0.31, -0.62
2768, 0.00, -0.04, 0.95, 1.66, -0.31, 0.18, -0.12, 0.31, -0.62
2798, -0.00, -0.04, 0.95, 0.60, -0.62, 0.26, -0.12, 0.31, -0.62
2842, -0.01, -0.06, 0.94, -0.57, -1.92, 3.78, -0.13, 0.31, -0.62
2884, -0.00, -0.04, 0.95, 0.75, -0.81, 0.67, -0.13, 0.31, -0.61
2912, -0.00, -0.04, 0.95, 0.79, -0.81, 0.19, -0.13, 0.31, -0.61
2942, 0.00, -0.04, 0.95, 0.77, -0.86, 0.18, -0.13, 0.31, -0.62
2970, -0.00, -0.04, 0.95, 0.52, -1.03, 0.89, -0.13, 0.31, -0.62
2998, -0.00, -0.04, 0.95, 0.74, -0.83, 0.51, -0.13, 0.31, -0.62
3028, 0.00, -0.04, 0.95, 0.86, -0.88, 0.92, -0.13, 0.31, -0.63
3058, 0.00, -0.04, 0.95, 0.63, -0.80, 0.76, -0.13, 0.31, -0.63
3090, 0.00, -0.04, 0.95, 0.92, -0.82, 0.41, -0.12, 0.31, -0.63
3119, 0.00, -0.04, 0.95, 0.78, -0.81, 0.11, -0.12, 0.31, -0.63
3148, 0.00, -0.04, 0.95, 0.67, -0.79, 0.19, -0.13, 0.31, -0.62
3178, 0.00, -0.04, 0.95, 0.75, -0.80, 0.10, -0.12, 0.31, -0.62
3206, 0.00, -0.04, 0.95, 0.80, -0.76, 0.14, -0.12, 0.31, -0.62
3234, 0.00, -0.04, 0.95, 0.78, -0.84, 0.12, -0.13, 0.31, -0.61
3263, 0.00, -0.04, 0.95, 0.74, -0.83, 0.05, -0.13, 0.31, -0.61
3294, 0.00, -0.04, 0.95, 0.76, -0.88, -0.01, -0.12, 0.31, -0.62
3330, 0.00, -0.04, 0.95, 0.84, -0.86, 0.06, -0.12, 0.31, -0.61
3359, 0.00, -0.04, 0.95, 0.62, -0.88, 0.02, -0.12, 0.31, -0.61
3389, 0.00, -0.04, 0.95, 0.67, -0.91, 0.09, -0.12, 0.31, -0.62
3417, 0.00, -0.04, 0.95, 0.74, -0.78, 0.03, -0.12, 0.31, -0.62
3448, -0.00, -0.04, 0.95, 0.72, -0.88, 0.06, -0.13, 0.31, -0.62
3478, 0.00, -0.04, 0.95, 0.60, -0.84, 0.07, -0.13, 0.31, -0.62
3507, 0.00, -0.04, 0.95, 0.69, -0.76, 0.06, -0.12, 0.31, -0.62
3539, 0.00, -0.04, 0.95, 0.76, -0.86, 0.06, -0.12, 0.31, -0.61
3568, 0.00, -0.04, 0.95, 0.77, -1.00, 0.11, -0.12, 0.31, -0.61
3598, 0.00, -0.04, 0.95, 0.71, -0.87, 0.00, -0.12, 0.31, -0.62
3627, 0.00, -0.04, 0.95, 0.63, -1.00, 0.03, -0.12, 0.31, -0.62
3656, 0.00, -0.04, 0.95, 0.85, -0.90, 0.03, -0.12, 0.31, -0.61
3685, 0.00, -0.04, 0.95, 0.71, -1.02, 0.02, -0.13, 0.31, -0.61
3714, 0.00, -0.04, 0.95, 0.78, -0.84, 0.19, -0.13, 0.31, -0.61
3743, -0.00, -0.04, 0.95, 0.71, -1.01, 0.02, -0.12, 0.31, -0.62
3784, -0.00, -0.04, 0.95, 0.77, -0.81, 0.04, -0.12, 0.31, -0.62
3814, 0.00, -0.04, 0.95, 0.80, -0.91, 0.00, -0.12, 0.31, -0.61
3843, 0.00, -0.04, 0.95, 0.74, -0.95, 0.10, -0.12, 0.31, -0.62
3872, 0.00, -0.04, 0.95, 0.78, -0.88, 0.01, -0.12, 0.31, -0.62
3901, 0.00, -0.04, 0.95, 0.71, -1.09, 0.15, -0.12, 0.31, -0.62
3930, 0.00, -0.04, 0.95, 0.68, -1.07, 0.03, -0.12, 0.31, -0.62
3958, -0.00, -0.04, 0.95, 0.76, -0.97, 0.01, -0.12, 0.31, -0.62
3990, -0.00, -0.04, 0.95, 0.88, -1.10, -0.05, -0.12, 0.31, -0.62
4023, 0.00, -0.04, 0.95, 0.76, -0.97, 0.10, -0.12, 0.31, -0.62
4051, -0.00, -0.04, 0.95, 0.83, -0.96, 0.11, -0.12, 0.31, -0.61
4081, 0.00, -0.04, 0.95, 0.77, -1.01, -0.01, -0.12, 0.31, -0.61
4110, -0.00, -0.04, 0.95, 0.74, -0.94, 0.03, -0.12, 0.31, -0.62
4140, -0.00, -0.04, 0.95, 0.71, -0.86, 0.03, -0.12, 0.31, -0.62
4168, -0.00, -0.04, 0.95, 0.74, -0.88, 0.11, -0.12, 0.31, -0.62
4198, -0.00, -0.04, 0.95, 0.77, -0.93, 0.08, -0.12, 0.31, -0.62
4226, 0.00, -0.04, 0.95, 0.74, -0.88, 0.00, -0.12, 0.31, -0.62
4258, -0.00, -0.04, 0.95, 0.76, -0.80, 0.05, -0.12, 0.31, -0.62
4289, -0.00, -0.04, 0.95, 0.74, -0.86, 0.04, -0.12, 0.31, -0.62
4318, -0.00, -0.04, 0.95, 0.77, -0.95, 0.03, -0.12, 0.32, -0.62
4348, -0.00, -0.04, 0.95, 0.81, -0.87, -0.03, -0.12, 0.31, -0.62
4378, -0.00, -0.04, 0.95, 0.77, -0.74, 0.13, -0.12, 0.31, -0.62
4406, -0.00, -0.04, 0.95, 0.89, -0.79, 0.07, -0.12, 0.31, -0.62
4435, -0.00, -0.04, 0.95, 0.74, -0.88, 0.07, -0.12, 0.31, -0.62
4464, -0.00, -0.04, 0.95, 0.77, -0.81, 0.20, -0.12, 0.31, -0.61
4497, -0.00, -0.04, 0.95, 0.70, -0.92, -0.03, -0.12, 0.31, -0.61
4525, -0.00, -0.04, 0.95, 0.81, -0.89, -0.03, -0.12, 0.31, -0.61
4555, -0.00, -0.04, 0.95, 0.68, -0.74, 0.03, -0.12, 0.31, -0.62
4585, -0.00, -0.04, 0.95, 0.63, -0.79, 0.03, -0.12, 0.31, -0.62
4626, -0.00, -0.04, 0.95, 0.77, -0.81, 0.03, -0.12, 0.31, -0.62
4668, -0.00, -0.04, 0.95, 0.78, -0.73, 0.09, -0.13, 0.31, -0.62
4696, 0.00, -0.04, 0.95, 0.75, -0.79, 0.03, -0.13, 0.31, -0.62
4726, -0.00, -0.04, 0.95, 0.75, -0.84, 0.03, -0.13, 0.31, -0.63
4760, 0.00, -0.04, 0.95, 0.74, -0.81, 0.04, -0.13, 0.32, -0.61
4789, -0.00, -0.04, 0.95, 0.66, -0.82, 0.02, -0.13, 0.32, -0.61
4816, 0.00, -0.04, 0.95, 0.88, -0.74, 0.00, -0.13, 0.32, -0.62
4847, -0.00, -0.04, 0.95, 0.76, -0.88, 0.09, -0.13, 0.32, -0.62
4876, -0.00, -0.04, 0.95, 0.84, -0.74, 0.03, -0.12, 0.31, -0.61
4908, -0.00, -0.04, 0.95, 0.82, -0.77, 0.03, -0.13, 0.31, -0.61
4937, -0.00, -0.04, 0.95, 0.84, -0.74, 0.16, -0.13, 0.31, -0.61
4966, -0.00, -0.04, 0.95, 0.74, -0.83, 0.04, -0.13, 0.31, -0.62
4998, -0.00, -0.04, 0.95, 0.88, -0.78, 0.11, -0.13, 0.31, -0.62
5026, -0.00, -0.04, 0.95, 0.80, -0.88, 0.00, -0.13, 0.31, -0.61
5056, -0.00, -0.04, 0.95, 0.73, -0.84, 0.04, -0.13, 0.31, -0.61
5087, -0.00, -0.04, 0.95, 0.84, -0.81, 0.05, -0.12, 0.31, -0.61
5116, 0.00, -0.04, 0.95, 0.71, -0.67, 0.03, -0.13, 0.31, -0.62
5146, -0.00, -0.04, 0.95, 0.74, -0.72, 0.17, -0.13, 0.31, -0.62
5175, -0.00, -0.04, 0.95, 0.79, -0.85, -0.05, -0.12, 0.31, -0.62
5203, -0.00, -0.04, 0.95, 0.81, -0.74, -0.07, -0.12, 0.31, -0.62
5236, 0.00, -0.04, 0.95, 0.75, -0.89, 0.08, -0.12, 0.31, -0.62
5264, -0.00, -0.04, 0.95, 0.78, -0.83, 0.12, -0.13, 0.31, -0.62
5294, -0.00, -0.04, 0.95, 0.72, -0.80, 0.06, -0.13, 0.31, -0.62
5322, 0.00, -0.04, 0.95, 0.89, -0.82, 0.09, -0.13, 0.31, -0.62
5352, -0.00, -0.04, 0.95, 0.76, -0.85, -0.03, -0.13, 0.31, -0.62
5381, -0.00, -0.04, 0.95, 0.79, -0.82, -0.01, -0.12, 0.31, -0.62
5409, -0.00, -0.04, 0.95, 0.80, -0.97, 0.01, -0.12, 0.31, -0.62
5438, -0.00, -0.04, 0.95, 0.63, -0.88, -0.03, -0.12, 0.31, -0.62
5472, -0.00, -0.04, 0.95, 0.71, -0.84, 0.04, -0.13, 0.31, -0.62
5501, 0.00, -0.04, 0.95, 0.75, -0.91, -0.01, -0.13, 0.31, -0.62
5532, -0.00, -0.04, 0.95, 0.85, -0.88, 0.09, -0.12, 0.31, -0.62
5562, -0.00, -0.04, 0.95, 0.80, -0.85, 0.02, -0.12, 0.31, -0.62
5593, -0.00, -0.04, 0.95, 0.80, -0.79, 0.07, -0.13, 0.31, -0.62
5621, -0.00, -0.04, 0.95, 0.76, -0.80, 0.03, -0.13, 0.32, -0.61
5653, -0.00, -0.04, 0.95, 0.74, -0.87, -0.02, -0.13, 0.32, -0.61
5682, -0.00, -0.04, 0.95, 0.88, -0.89, 0.00, -0.12, 0.31, -0.62
5722, -0.00, -0.04, 0.95, 0.87, -0.88, 0.00, -0.12, 0.31, -0.62
5751, -0.00, -0.04, 0.95, 0.68, -0.87, 0.05, -0.12, 0.31, -0.62
5782, -0.00, -0.04, 0.95, 0.87, -0.84, 0.05, -0.13, 0.31, -0.62
5810, -0.00, -0.04, 0.95, 0.81, -0.74, 0.02, -0.13, 0.31, -0.62
5841, -0.00, -0.04, 0.95, 0.88, -0.68, 0.04, -0.13, 0.32, -0.62
5869, -0.00, -0.04, 0.95, 0.69, -0.83, 0.08, -0.13, 0.32, -0.62
5897, -0.00, -0.04, 0.95, 0.84, -0.82, 0.04, -0.13, 0.32, -0.61
5929, 0.00, -0.04, 0.95, 0.88, -0.89, 0.00, -0.12, 0.32, -0.62
5961, -0.00, -0.04, 0.95, 0.69, -0.74, 0.01, -0.12, 0.32, -0.62
5990, -0.00, -0.04, 0.95, 0.71, -0.76, -0.05, -0.12, 0.31, -0.62
6019, -0.00, -0.04, 0.95, 0.67, -0.79, -0.07, -0.12, 0.31, -0.62
6047, -0.00, -0.04, 0.95, 0.87, -0.69, 0.11, -0.13, 0.31, -0.61
6077, -0.00, -0.04, 0.95, 0.86, -0.74, -0.01, -0.13, 0.31, -0.61
6108, 0.00, -0.04, 0.95, 0.74, -0.81, 0.02, -0.12, 0.31, -0.63
6136, -0.00, -0.04, 0.95, 0.54, -0.78, 0.08, -0.13, 0.31, -0.62
